Offenses Charged,TOTAL,White or Hispanic,Black,American Indian or Alaskan Native,Asian or Pacific Islander
TOTAL,10177907,7066154,2846862,145612,119279
Murder and nonnegligent manslaughter,8641,4261,4209,91,80
Forcible rape,15503,10178,4925,214,186
Robbery,87587,37906,48154,617,910
Aggravated assault,317435,202275,106382,4854,3924
Burglary,225775,152210,69541,1961,2063
Larceny-theft,998476,687609,282246,14323,14298
Motor vehicle theft,55278,35009,18797,696,776
Arson,8766,6592,1978,100,96
Violent crime,429166,254620,163670,5776,5100
Property crime,1288295,881420,372562,17080,17233
Other assaults,1004273,659171,318117,14848,12137
Forgery and counterfeiting,60538,40167,19350,342,679
Fraud,144214,95126,46493,1253,1342
Embezzlement,12930,8568,4037,88,237
"Stolen property; buying, receiving, possessing",74122,48303,24494,598,727
Vandalism,197015,145284,46306,3279,2146
"Weapons; carrying, possessing, etc.",123278,71772,49443,874,1189
Prostitution and commercialized vice,48154,26156,20405,342,1251
Sex offenses (except forcible rape and prostitution),56125,41406,13182,744,793
Drug abuse violations,1270443,846736,404609,8766,10332
Gambling,7512,2160,5071,32,249
Offenses against the family and children,84812,56233,26470,1533,576
Driving under the influence,1082301,927516,124467,13980,16338
Liquor laws,396942,329895,47529,14129,5389
Drunkenness,440688,362396,66837,8583,2872
Disorderly conduct,480080,305154,162521,8415,3990
Vagrancy,24759,14092,9935,567,165
All other offenses (except traffic),2877687,1905436,893018,43634,35599
Suspicion,903,582,310,5,6
Curfew and loitering law violations,73670,43961,28036,744,929
