Offenses Charged,TOTAL,White or Hispanic,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian or Other Pacific Islander
TOTAL,8248709,5753212,2197140,174020,101064,23273
Murder and nonnegligent manslaughter,8508,3908,4347,102,126,25
Forcible rape,17370,11809,4907,301,271,82
Robbery,73023,32439,39052,562,668,302
Aggravated assault,287566,184024,92237,5836,4631,838
Burglary,165948,112992,48907,1686,1963,400
Larceny-theft,893707,621585,244722,14311,11078,2011
Motor vehicle theft,59533,40000,17499,917,763,354
Arson,6762,4952,1519,177,88,26
Violent crime,386467,232180,140543,6801,5696,1247
Property crime,1125950,779529,312647,17091,13892,2791
Other assaults,826920,544870,254600,15039,9910,2501
Forgery and counterfeiting,42436,27419,14001,293,644,79
Fraud,101556,67594,31495,1157,1171,139
Embezzlement,12169,7378,4482,83,203,23
"Stolen property; buying, receiving, possessing",68057,44561,21783,751,832,130
Vandalism,146090,101481,39778,2816,1667,348
"Weapons; carrying, possessing, etc.",110822,63967,44284,1099,1244,228
Prostitution and commercialized vice,31362,17084,12513,111,1599,55
Sex offenses (except forcible rape and prostitution),39184,28650,9058,614,729,133
Drug abuse violations,1136950,803809,307140,11717,12436,1848
Gambling,3597,1296,2028,23,230,20
Offenses against the family and children,71865,47312,21425,2552,538,38
Driving under the influence,825218,681628,108590,16042,16421,2537
Liquor laws,201550,160772,27742,9788,2749,499
Drunkenness,313390,239556,44676,25660,3037,461
Disorderly conduct,295835,189321,91716,11912,2311,575
Vagrancy,19268,13247,5143,668,195,15
All other offenses (except traffic),2455238,1683297,688146,49114,25197,9484
Suspicion,1085,479,297,293,11,5
Curfew and loitering law violations,33700,17782,15053,396,352,117
