Offenses Charged,TOTAL,White or Hispanic,Black,American Indian or Alaskan Native,Asian or Pacific Islander
TOTAL,9390473,6502919,2640067,135165,112322
Murder and nonnegligent manslaughter,8506,4101,4203,102,100
Forcible rape,13886,9027,4512,183,164
Robbery,80135,34761,44002,601,771
Aggravated assault,299943,188505,102371,4312,4755
Burglary,219232,147156,67554,1966,2556
Larceny-theft,994304,677895,288025,15052,13332
Motor vehicle theft,52952,35251,16301,645,755
Arson,8827,6500,2083,141,103
Violent crime,402470,236394,155088,5198,5790
Property crime,1275315,866802,373963,17804,16746
Other assaults,924839,606048,294678,13898,10215
Forgery and counterfeiting,51759,33950,16900,239,670
Fraud,117706,78331,37171,1143,1061
Embezzlement,12371,7994,4103,74,200
"Stolen property; buying, receiving, possessing",75516,50144,23787,615,970
Vandalism,175243,125987,44650,2845,1761
"Weapons; carrying, possessing, etc.",114979,66909,45842,764,1464
Prostitution and commercialized vice,43216,23172,18486,175,1383
Sex offenses (except forcible rape and prostitution),52354,38063,12850,628,813
Drug abuse violations,1194956,801198,372914,8299,12545
Gambling,5951,1707,4008,22,214
Offenses against the family and children,81762,53760,25698,1740,564
Driving under the influence,981110,830498,118557,13313,18742
Liquor laws,337687,275457,46355,11314,4561
Drunkenness,398600,324209,62944,7218,4229
Disorderly conduct,418960,262810,145183,7751,3216
Vagrancy,20698,13034,7080,389,195
All other offenses (except traffic),2649909,1773792,808609,41206,26302
Suspicion,1160,610,535,4,11
Curfew and loitering law violations,53912,32050,20666,526,670
