Offenses Charged,TOTAL,White or Hispanic,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian or Other Pacific Islander
TOTAL,100,69.4,27.8,1.6,1.1,0.1
Murder and nonnegligent manslaughter,100,46.3,51.3,1,1.3,0.1
Forcible rape,100,67.2,29.9,1.3,1.4,0.2
Robbery,100,42.3,55.9,0.8,0.8,0.1
Aggravated assault,100,63.7,33.1,1.5,1.5,0.2
Burglary,100,67.6,30.2,0.9,1.1,0.2
Larceny-theft,100,69.1,28,1.6,1.2,0.1
Motor vehicle theft,100,66.5,30.7,1.2,1.3,0.3
Arson,100,73.1,23.4,1.9,1.3,0.2
Violent crime,100,59.4,37.7,1.4,1.4,0.2
Property crime,100,68.8,28.4,1.5,1.2,0.1
Other assaults,100,65.4,31.9,1.6,1.1,0.1
Forgery and counterfeiting,100,63.8,34,0.6,1.5,0.1
Fraud,100,66.1,31.8,1,1,0.1
Embezzlement,100,61.9,35.6,0.7,1.7,0.1
"Stolen property; buying, receiving, possessing",100,65.5,32.2,0.9,1.2,0.1
Vandalism,100,70.1,27,1.8,1,0.1
"Weapons; carrying, possessing, etc.",100,57.3,40.7,0.7,1.2,0.1
Prostitution and commercialized vice,100,53.7,41.8,0.5,3.9,0.1
Sex offenses (except forcible rape and prostitution),100,72.5,24.3,1.5,1.6,0.1
Drug abuse violations,100,68.9,29.1,0.8,1.1,0.1
Gambling,100,35.8,58.9,0.4,4.4,0.6
Offenses against the family and children,100,64.4,32.9,1.9,0.7,0
Driving under the influence,100,83.7,13,1.4,1.8,0.1
Liquor laws,100,80.2,14.5,3.9,1.3,0.1
Drunkenness,100,80.9,15.7,2.1,1.1,0.1
Disorderly conduct,100,63,33.9,2.3,0.7,0.1
Vagrancy,100,68.7,28.3,2.1,0.8,0.1
All other offenses (except traffic),100,67.8,29.5,1.7,0.9,0.1
Suspicion,100,52.7,44.7,1.4,1.2,0
Curfew and loitering law violations,100,51.4,46.2,1.1,1.1,0.2
