Offenses Charged,TOTAL,White or Hispanic,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian or Other Pacific Islander
TOTAL,100.0,68.9,28.3,1.6,1.2,0.1
Murder and nonnegligent manslaughter,100.0,45.3,52.2,1.2,1.2,0.1
Forcible rape,100.0,66.2,31.3,1.2,1.3,0.1
Robbery,100.0,41.9,56.4,0.7,0.8,0.1
Aggravated assault,100.0,62.9,33.9,1.5,1.5,0.1
Burglary,100.0,67.5,30.4,1.0,1.1,0.1
Larceny-theft,100.0,68.3,28.7,1.7,1.3,0.0
Motor vehicle theft,100.0,66.7,30.5,1.3,1.4,0.1
Arson,100.0,74.1,23.0,1.6,1.3,0.0
Violent crime,100.0,58.4,38.7,1.3,1.4,0.1
Property crime,100.0,68.2,29.0,1.5,1.2,0.1
Other assaults,100.0,65.1,32.2,1.6,1.1,0.0
Forgery and counterfeiting,100.0,64.2,33.7,0.6,1.4,0.1
Fraud,100.0,66.1,31.8,1.0,1.0,0.0
Embezzlement,100.0,62.7,34.9,0.7,1.6,0.1
"Stolen property; buying, receiving, possessing",100.0,67.4,30.4,0.9,1.2,0.1
Vandalism,100.0,70.7,26.4,1.8,1.0,0.1
"Weapons; carrying, possessing, etc.",100.0,58.2,39.8,0.8,1.1,0.1
Prostitution and commercialized vice,100.0,54.0,41.4,0.9,3.6,0.1
Sex offenses (except forcible rape and prostitution),100.0,72.4,24.6,1.3,1.6,0.1
Drug abuse violations,100.0,67.7,30.4,0.8,1.1,0.1
Gambling,100.0,28.3,66.5,0.5,4.5,0.1
Offenses against the family and children,100.0,65.0,32.5,1.8,0.7,0.0
Driving under the influence,100.0,84.2,12.5,1.4,1.8,0.1
Liquor laws,100.0,80.1,14.7,3.9,1.3,0.0
Drunkenness,100.0,80.8,16.0,2.1,1.0,0.1
Disorderly conduct,100.0,62.2,34.9,2.1,0.7,0.0
Vagrancy,100.0,64.3,31.9,2.7,1.0,0.1
All other offenses (except traffic),100.0,66.9,30.4,1.7,1.0,0.0
Suspicion,100.0,60.5,36.7,1.5,1.3,0.0
Curfew and loitering law violations,100.0,52.5,44.8,1.3,1.3,0.1
